bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,Johnny,intra,4x4-3-8x8-1.cpp,22
,,,,,Johnny,intra,8x8-5,22
,,,,,Johnny,intra,4x4-3-8x8-SAD.cpp,22
,,,,,Johnny,intra,8x8-4,22
,,,,,Johnny,intra,8x8-4,22
,,,,,Johnny,intra,4x4-1-8x8-1.cpp,22
,,,,,Johnny,intra,8x8-2,22
,,,,,Johnny,intra,4x4-1-8x8-3.cpp,22
,,,,,Johnny,intra,8x8-3,22
,,,,,Johnny,intra,8x8-5,22
,,,,,Johnny,intra,4x4-3.cpp,22
,,,,,Johnny,intra,8x8-SAD,22
,,,,,Johnny,intra,8x8-1,22
,,,,,Johnny,intra,4x4-1-8x8-SAD,22
,,,,,Johnny,intra,4x4-1-8x8-2.cpp,22
,,,,,Johnny,intra,8x8-4,27
,,,,,Johnny,intra,4x4-1-8x8-SAD,27
,,,,,Johnny,intra,4x4-1-8x8-3.cpp,27
,,,,,Johnny,intra,8x8-SAD,27
,,,,,Johnny,intra,8x8-3,27
,,,,,Johnny,intra,8x8-1,27
,,,,,Johnny,intra,4x4-3-8x8-1.cpp,27
,,,,,Johnny,intra,8x8-5,27
,,,,,Johnny,intra,8x8-2,27
,,,,,Johnny,intra,4x4-1-8x8-2.cpp,27
,,,,,Johnny,intra,4x4-1-8x8-1.cpp,27
,,,,,Johnny,intra,8x8-5,27
,,,,,Johnny,intra,4x4-3.cpp,27
,,,,,Johnny,intra,4x4-3-8x8-SAD.cpp,27
,,,,,Johnny,intra,8x8-4,27
,,,,,Johnny,intra,8x8-4,32
,,,,,Johnny,intra,8x8-1,32
,,,,,Johnny,intra,4x4-1-8x8-1.cpp,32
,,,,,Johnny,intra,8x8-5,32
,,,,,Johnny,intra,4x4-3-8x8-1.cpp,32
,,,,,Johnny,intra,8x8-4,32
,,,,,Johnny,intra,4x4-3-8x8-SAD.cpp,32
,,,,,Johnny,intra,8x8-2,32
,,,,,Johnny,intra,4x4-1-8x8-SAD,32
,,,,,Johnny,intra,4x4-3.cpp,32
,,,,,Johnny,intra,8x8-SAD,32
,,,,,Johnny,intra,8x8-5,32
,,,,,Johnny,intra,4x4-1-8x8-3.cpp,32
,,,,,Johnny,intra,4x4-1-8x8-2.cpp,32
,,,,,Johnny,intra,8x8-3,32
,,,,,Johnny,intra,4x4-1-8x8-1.cpp,37
,,,,,Johnny,intra,8x8-1,37
,,,,,Johnny,intra,8x8-5,37
,,,,,Johnny,intra,8x8-5,37
,,,,,Johnny,intra,8x8-3,37
,,,,,Johnny,intra,4x4-1-8x8-3.cpp,37
,,,,,Johnny,intra,4x4-3-8x8-SAD.cpp,37
,,,,,Johnny,intra,4x4-3-8x8-1.cpp,37
,,,,,Johnny,intra,8x8-4,37
,,,,,Johnny,intra,4x4-1-8x8-SAD,37
,,,,,Johnny,intra,8x8-SAD,37
,,,,,Johnny,intra,8x8-4,37
,,,,,Johnny,intra,8x8-2,37
,,,,,Johnny,intra,4x4-1-8x8-2.cpp,37
,,,,,Johnny,intra,4x4-3.cpp,37
